auction_id,auction_house_id,artwork_id,date_of_auction,collector_museum_id,bid_data_id,number_of_bids,reserve_price,final_price,artist_id,name,medium,year_created,image,artwork_length,artwork_width,artwork_height,signed,insurance_value,university_id,auction_house_name,location,auction_house_rating,y_price,y_log_price,area,log_area,volume,log_volume,artwork_age,signed_flag,log_insurance,season_q,auction_year,reserve_gt0,premium,is_top_city,nationality,artists_dealers_id,dealer_id,gallery_id,dealer_name,number_of_artists,dealer_avg_earnings,log_dealer_earnings,ownership_count,loan_count,prov_count
AUC-000006,AH-016,ARTW-001047,2024-07-07,COL-0044,AUC-000006,3,141738.0,154267,ART-00230,Artwork 1047,Acrylic,2016,https://example.com/art/1047.jpg,103,98,37,False,256277,UNI-003,Cambiaso 24,Dubai,64,154267,11.94644662863855,10094,9.219795530746937,373478,12.83061705707473,8,0,12.454018071758092,3,2024,1,0.08839549027078131,1,Argentinian,AD-000361,DEALER-028,GALLERY-036,Mason Williams,18,380303.8,12.848728315451213,3.0,,2.0
AUC-000007,AH-020,ARTW-001864,2022-01-08,MUSEUM-011,AUC-000007,1,257299.0,255678,ART-00415,Artwork 1864,Mixed Media,2022,https://example.com/art/1864.jpg,164,108,33,False,376482,UNI-003,Chrystalis 5,Chicago,94,255678,12.451678030413476,17712,9.782054112252597,584496,13.27850692728913,0,0,12.838628172480227,1,2022,1,-0.006300063350421105,0,Indonesian,AD-000666,DEALER-036,GALLERY-035,Lucas Garcia,12,523947.2,13.169148103454873,5.0,,
AUC-000008,AH-022,ARTW-000204,2021-08-15,COL-0171,AUC-000008,1,109054.0,107772,ART-00043,Artwork 204,Photography,1970,https://example.com/art/204.jpg,148,141,11,False,331716,UNI-005,Philhams 88,Tokyo,72,107772,11.58778244226384,20868,9.946020083254831,229548,12.3438717933185,51,0,12.712037474752389,3,2021,1,-0.011755643992884259,1,Argentinian,AD-000071,DEALER-025,GALLERY-012,Sophia Williams,13,259192.1,12.465328622735559,,1.0,
AUC-000009,AH-018,ARTW-000212,2018-12-07,COL-0045,AUC-000009,1,142176.0,141953,ART-00045,Artwork 212,Photography,1998,https://example.com/art/212.jpg,29,174,47,True,348404,UNI-002,ArtNow 22,Sydney,92,141953,11.863258340440344,5046,8.526549286340263,237162,12.376502947429271,20,1,12.761120875177827,4,2018,1,-0.0015684785055142922,0,South African,AD-000073,DEALER-025,GALLERY-012,Sophia Williams,13,259192.1,12.465328622735559,5.0,3.0,4.0
AUC-000009,AH-018,ARTW-000212,2018-12-07,COL-0045,AUC-000009,1,142176.0,141953,ART-00045,Artwork 212,Photography,1998,https://example.com/art/212.jpg,29,174,47,True,348404,UNI-002,ArtNow 22,Sydney,92,141953,11.863258340440344,5046,8.526549286340263,237162,12.376502947429271,20,1,12.761120875177827,4,2018,1,-0.0015684785055142922,0,South African,AD-000074,DEALER-033,GALLERY-015,Mason Moore,16,493749.9,13.109786417980617,5.0,3.0,4.0
AUC-000010,AH-030,ARTW-000138,2019-01-01,COL-0035,AUC-000010,1,116091.0,115911,ART-00029,Artwork 138,Mixed Media,2000,https://example.com/art/138.jpg,118,66,50,False,126009,UNI-003,Heritagee 2,New York,100,115911,11.660586561500558,7788,8.960467760919949,389400,12.872364939970355,19,0,11.744116547863738,1,2019,1,-0.0015505077913016514,1,Turkish,AD-000049,DEALER-056,GALLERY-020,Casey Martinez,14,694935.6,13.451575897364274,4.0,,6.0
AUC-000010,AH-030,ARTW-000138,2019-01-01,COL-0035,AUC-000010,1,116091.0,115911,ART-00029,Artwork 138,Mixed Media,2000,https://example.com/art/138.jpg,118,66,50,False,126009,UNI-003,Heritagee 2,New York,100,115911,11.660586561500558,7788,8.960467760919949,389400,12.872364939970355,19,0,11.744116547863738,1,2019,1,-0.0015505077913016514,1,Turkish,AD-000050,DEALER-032,GALLERY-001,Harper Lopez,13,566889.0,13.247920560361434,4.0,,6.0
AUC-000011,AH-029,ARTW-001687,2020-05-25,COL-0156,AUC-000011,11,148059.0,178363,ART-00376,Artwork 1687,Digital,1983,https://example.com/art/1687.jpg,120,116,46,True,76580,UNI-003,Tajan 32,Hong Kong,77,178363,12.09158168504298,13920,9.541153770388567,640320,13.369724892095427,37,1,11.246104283185776,2,2020,1,0.20467516327950344,1,Israeli,AD-000603,DEALER-028,GALLERY-036,Mason Williams,18,380303.8,12.848728315451213,2.0,,6.0
AUC-000012,AH-032,ARTW-000588,2021-11-02,COL-0137,AUC-000012,1,255267.0,253381,ART-00131,Artwork 588,Sculpture,1996,https://example.com/art/588.jpg,45,139,4,False,480137,UNI-003,Sothelake 44,Geneva,77,253381,12.442653510407709,6255,8.741296282225147,25020,10.127470751247781,25,0,13.081828841563869,4,2021,1,-0.007388342402268997,1,Swedish,AD-000207,DEALER-033,GALLERY-015,Mason Moore,16,493749.9,13.109786417980617,5.0,,6.0
AUC-000013,AH-018,ARTW-000146,2019-11-04,COL-0004,AUC-000013,18,,143771,ART-00030,Artwork 146,Mixed Media,1970,https://example.com/art/146.jpg,67,100,16,True,15396,UNI-004,ArtNow 22,Sydney,92,143771,11.8759839904279,6700,8.81001204797317,107200,11.582460855933538,49,1,9.641927964229918,4,2019,0,,0,Hungarian,AD-000051,DEALER-026,GALLERY-032,Olivia Rodriguez,13,425704.4,12.961502836725218,1.0,,
AUC-000014,AH-029,ARTW-000353,2015-09-24,COL-0019,AUC-000014,10,115825.0,128619,ART-00077,Artwork 353,Mixed Media,1990,https://example.com/art/353.jpg,32,70,48,False,415250,UNI-003,Tajan 32,Hong Kong,77,128619,11.764617599688854,2240,7.714677473800927,107520,11.585441456308965,25,0,12.93663843566048,3,2015,1,0.11045974530541766,1,Egyptian,AD-000125,DEALER-019,GALLERY-034,Aiden Hernandez,16,379269.9,12.84600600445965,,2.0,
AUC-000015,AH-031,ARTW-000602,2021-07-04,COL-0126,AUC-000015,1,6517.0,6467,ART-00134,Artwork 602,Acrylic,1993,https://example.com/art/602.jpg,96,184,4,True,346705,UNI-004,Ketterer 79,Seoul,96,6467,8.774622220696997,17664,9.779340559793246,70656,11.165592463176269,28,1,12.756232437551633,3,2021,1,-0.007672241829062452,1,Pakistani,AD-000212,DEALER-014,GALLERY-019,Evelyn Wilson,7,776210.7,13.562180571238022,5.0,1.0,4.0
AUC-000015,AH-031,ARTW-000602,2021-07-04,COL-0126,AUC-000015,1,6517.0,6467,ART-00134,Artwork 602,Acrylic,1993,https://example.com/art/602.jpg,96,184,4,True,346705,UNI-004,Ketterer 79,Seoul,96,6467,8.774622220696997,17664,9.779340559793246,70656,11.165592463176269,28,1,12.756232437551633,3,2021,1,-0.007672241829062452,1,Pakistani,AD-000213,DEALER-025,GALLERY-012,Sophia Williams,13,259192.1,12.465328622735559,5.0,1.0,4.0
AUC-000015,AH-031,ARTW-000602,2021-07-04,COL-0126,AUC-000015,1,6517.0,6467,ART-00134,Artwork 602,Acrylic,1993,https://example.com/art/602.jpg,96,184,4,True,346705,UNI-004,Ketterer 79,Seoul,96,6467,8.774622220696997,17664,9.779340559793246,70656,11.165592463176269,28,1,12.756232437551633,3,2021,1,-0.007672241829062452,1,Pakistani,AD-000214,DEALER-012,GALLERY-006,Olivia Jones,21,126775.8,11.750183338945385,5.0,1.0,4.0
AUC-000016,AH-001,ARTW-001087,2013-06-07,COL-0007,AUC-000016,7,99778.0,105334,ART-00239,Artwork 1087,Watercolour,1972,https://example.com/art/1087.jpg,83,42,47,False,58004,UNI-002,Dorothea 70,Chicago,89,105334,11.564901026560571,3486,8.156797046675651,163842,12.006663931212518,41,0,10.968284492709508,2,2013,1,0.05568361763114113,0,Czech,AD-000375,DEALER-006,GALLERY-022,Elijah Hernandez,16,91529.4,11.424426436521138,4.0,2.0,
AUC-000017,AH-007,ARTW-002178,2013-12-07,COL-0146,AUC-000017,9,183031.0,208493,ART-00482,Artwork 2178,Acrylic,2021,https://example.com/art/2178.jpg,181,61,24,False,322291,UNI-003,PolyArts 82,Milan,87,208493,12.24766554282851,11041,9.30946146284399,264984,12.48742849959272,0,0,12.683213245900681,4,2013,1,0.13911304642382985,1,Indian,AD-000786,DEALER-044,GALLERY-005,Oliver Lopez,16,1203879.4,14.001060564368629,3.0,2.0,
AUC-000018,AH-012,ARTW-000648,2021-10-26,COL-0085,AUC-000018,8,10032.0,11622,ART-00143,Artwork 648,Acrylic,1960,https://example.com/art/648.jpg,79,78,47,True,218036,UNI-001,Ketterer 96,Madrid,60,11622,9.360741172643708,6162,8.726318950962243,289614,12.576307733732465,61,1,12.29242005214025,4,2021,1,0.15849282296650719,0,Egyptian,AD-000226,DEALER-004,GALLERY-036,Noah Hernandez,14,131857.8,11.78948693206468,4.0,3.0,6.0
AUC-000018,AH-012,ARTW-000648,2021-10-26,COL-0085,AUC-000018,8,10032.0,11622,ART-00143,Artwork 648,Acrylic,1960,https://example.com/art/648.jpg,79,78,47,True,218036,UNI-001,Ketterer 96,Madrid,60,11622,9.360741172643708,6162,8.726318950962243,289614,12.576307733732465,61,1,12.29242005214025,4,2021,1,0.15849282296650719,0,Egyptian,AD-000227,DEALER-010,GALLERY-001,Noah Anderson,12,551273.1,13.219987423608414,4.0,3.0,6.0
AUC-000019,AH-029,ARTW-000787,2012-01-07,COL-0133,AUC-000019,1,112708.0,107557,ART-00172,Artwork 787,Digital,1996,https://example.com/art/787.jpg,175,190,35,False,87260,UNI-001,Tajan 32,Hong Kong,77,107557,11.585785515936962,33250,10.41184012081972,1163750,13.96715896686413,16,0,11.37665890661652,1,2012,1,-0.04570216843524861,1,Nigerian,AD-000273,DEALER-006,GALLERY-022,Elijah Hernandez,16,91529.4,11.424426436521138,,,3.0
AUC-000020,AH-015,ARTW-002094,2011-10-17,COL-0004,AUC-000020,1,233312.0,232185,ART-00465,Artwork 2094,Acrylic,1950,https://example.com/art/2094.jpg,180,156,50,False,300687,UNI-001,Guardian 73,Shanghai,62,232185,12.35529405357725,28080,10.242848470041249,1404000,14.154836575818353,61,0,12.613828461296382,4,2011,1,-0.004830441640378549,1,Vietnamese,AD-000753,DEALER-017,GALLERY-020,Noah Taylor,10,1036172.6,13.851045255331256,,,
AUC-000020,AH-015,ARTW-002094,2011-10-17,COL-0004,AUC-000020,1,233312.0,232185,ART-00465,Artwork 2094,Acrylic,1950,https://example.com/art/2094.jpg,180,156,50,False,300687,UNI-001,Guardian 73,Shanghai,62,232185,12.35529405357725,28080,10.242848470041249,1404000,14.154836575818353,61,0,12.613828461296382,4,2011,1,-0.004830441640378549,1,Vietnamese,AD-000754,DEALER-018,GALLERY-031,Avery Martin,12,213006.1,12.269080777469352,,,
AUC-000020,AH-015,ARTW-002094,2011-10-17,COL-0004,AUC-000020,1,233312.0,232185,ART-00465,Artwork 2094,Acrylic,1950,https://example.com/art/2094.jpg,180,156,50,False,300687,UNI-001,Guardian 73,Shanghai,62,232185,12.35529405357725,28080,10.242848470041249,1404000,14.154836575818353,61,0,12.613828461296382,4,2011,1,-0.004830441640378549,1,Vietnamese,AD-000755,DEALER-037,GALLERY-010,Elijah Anderson,7,781760.7,13.569305241629582,,,
AUC-000021,AH-033,ARTW-001364,2024-03-19,COL-0191,AUC-000021,11,179257.0,218440,ART-00299,Artwork 1364,Oil on Canvas,1982,https://example.com/art/1364.jpg,107,126,28,False,437230,UNI-005,ArtNow 85,Zurich,95,218440,12.294271234171744,13482,9.509184911634074,377496,12.84131790061977,42,0,12.988216938534778,1,2024,1,0.21858560614090383,1,Dutch,AD-000482,DEALER-057,GALLERY-025,Liam Jones,8,54008.5,10.896915235999186,4.0,3.0,3.0
AUC-000021,AH-033,ARTW-001364,2024-03-19,COL-0191,AUC-000021,11,179257.0,218440,ART-00299,Artwork 1364,Oil on Canvas,1982,https://example.com/art/1364.jpg,107,126,28,False,437230,UNI-005,ArtNow 85,Zurich,95,218440,12.294271234171744,13482,9.509184911634074,377496,12.84131790061977,42,0,12.988216938534778,1,2024,1,0.21858560614090383,1,Dutch,AD-000483,DEALER-016,GALLERY-031,Charlotte Johnson,14,291450.6,12.582629233251044,4.0,3.0,3.0
AUC-000022,AH-009,ARTW-001971,2011-02-02,COL-0010,AUC-000022,12,107824.0,130862,ART-00438,Artwork 1971,Acrylic,1987,https://example.com/art/1971.jpg,69,77,44,True,357535,UNI-004,Lempertz 28,Hong Kong,99,130862,11.78190625342459,5313,8.57810012631976,233772,12.362105838032317,24,1,12.786991335347064,1,2011,1,0.21366300638076866,1,Ethiopian,AD-000705,DEALER-032,GALLERY-001,Harper Lopez,13,566889.0,13.247920560361434,4.0,1.0,6.0
AUC-000023,AH-006,ARTW-001837,2014-07-25,COL-0043,AUC-000023,10,121174.0,142388,ART-00409,Artwork 1837,Watercolour,2002,https://example.com/art/1837.jpg,104,168,45,True,144241,UNI-001,Wright 25,Sydney,80,142388,11.866318027785283,17472,9.768412111339039,786240,13.575018640190414,12,1,11.879247723560326,3,2014,1,0.17507055969102284,0,Ukrainian,AD-000657,DEALER-052,GALLERY-027,Taylor Jones,20,146171.5,11.892542710109863,1.0,,
AUC-000023,AH-006,ARTW-001837,2014-07-25,COL-0043,AUC-000023,10,121174.0,142388,ART-00409,Artwork 1837,Watercolour,2002,https://example.com/art/1837.jpg,104,168,45,True,144241,UNI-001,Wright 25,Sydney,80,142388,11.866318027785283,17472,9.768412111339039,786240,13.575018640190414,12,1,11.879247723560326,3,2014,1,0.17507055969102284,0,Ukrainian,AD-000658,DEALER-011,GALLERY-007,Harper Johnson,14,462093.2,13.043524045383787,1.0,,
AUC-000023,AH-006,ARTW-001837,2014-07-25,COL-0043,AUC-000023,10,121174.0,142388,ART-00409,Artwork 1837,Watercolour,2002,https://example.com/art/1837.jpg,104,168,45,True,144241,UNI-001,Wright 25,Sydney,80,142388,11.866318027785283,17472,9.768412111339039,786240,13.575018640190414,12,1,11.879247723560326,3,2014,1,0.17507055969102284,0,Ukrainian,AD-000659,DEALER-021,GALLERY-028,Olivia Moore,22,1131754.9,13.939280878450068,1.0,,
AUC-000024,AH-004,ARTW-000549,2011-05-22,COL-0136,AUC-000024,1,22946.0,22717,ART-00122,Artwork 549,Acrylic,2011,https://example.com/art/549.jpg,45,153,28,False,479724,UNI-002,Tajan 57,Paris,76,22717,10.030912840791366,6885,8.83724564389847,192780,12.169310108584595,0,0,13.080968302037943,2,2011,1,-0.009979952932973067,1,Hungarian,AD-000194,DEALER-009,GALLERY-039,Mason Williams,23,79582.6,11.284563320454593,,,3.0
AUC-000025,AH-007,ARTW-000254,2014-05-08,COL-0043,AUC-000025,8,160376.0,188846,ART-00055,Artwork 254,Sculpture,1967,https://example.com/art/254.jpg,44,23,30,False,133534,UNI-005,PolyArts 82,Milan,87,188846,12.148692442390914,1012,6.920671504248683,30360,10.320914169043537,47,0,11.802118894745938,2,2014,1,0.17752032723100714,1,Chilean,AD-000088,DEALER-037,GALLERY-010,Elijah Anderson,7,781760.7,13.569305241629582,,2.0,2.0
AUC-000025,AH-007,ARTW-000254,2014-05-08,COL-0043,AUC-000025,8,160376.0,188846,ART-00055,Artwork 254,Sculpture,1967,https://example.com/art/254.jpg,44,23,30,False,133534,UNI-005,PolyArts 82,Milan,87,188846,12.148692442390914,1012,6.920671504248683,30360,10.320914169043537,47,0,11.802118894745938,2,2014,1,0.17752032723100714,1,Chilean,AD-000089,DEALER-049,GALLERY-017,Lucas Johnson,11,376823.0,12.839533513923467,,2.0,2.0
AUC-000026,AH-036,ARTW-001591,2016-03-26,COL-0073,AUC-000026,15,199196.0,232780,ART-00353,Artwork 1591,Photography,2004,https://example.com/art/1591.jpg,60,120,43,False,201579,UNI-002,Ketterer 82,London,74,232780,12.35785337638845,7200,8.881975184248867,309600,12.643039650666653,12,0,12.21394160390887,1,2016,1,0.1685977630072893,1,French,AD-000567,DEALER-033,GALLERY-015,Mason Moore,16,493749.9,13.109786417980617,3.0,,6.0
AUC-000027,AH-003,ARTW-001363,2013-05-13,COL-0144,AUC-000027,4,165055.0,189893,ART-00299,Artwork 1363,Acrylic,1961,https://example.com/art/1363.jpg,43,154,32,True,99593,UNI-002,PolyArts 37,Sydney,73,189893,12.154221300724608,6622,8.798303718484979,211904,12.263893340013874,52,1,11.508857200794274,2,2013,1,0.15048317227590802,0,Dutch,AD-000482,DEALER-057,GALLERY-025,Liam Jones,8,54008.5,10.896915235999186,1.0,,2.0
AUC-000027,AH-003,ARTW-001363,2013-05-13,COL-0144,AUC-000027,4,165055.0,189893,ART-00299,Artwork 1363,Acrylic,1961,https://example.com/art/1363.jpg,43,154,32,True,99593,UNI-002,PolyArts 37,Sydney,73,189893,12.154221300724608,6622,8.798303718484979,211904,12.263893340013874,52,1,11.508857200794274,2,2013,1,0.15048317227590802,0,Dutch,AD-000483,DEALER-016,GALLERY-031,Charlotte Johnson,14,291450.6,12.582629233251044,1.0,,2.0
AUC-000028,AH-031,ARTW-000990,2013-04-14,MUSEUM-001,AUC-000028,5,,44581,ART-00218,Artwork 990,Photography,1953,https://example.com/art/990.jpg,126,123,27,True,43245,UNI-001,Ketterer 79,Seoul,96,44581,10.705085469100878,15498,9.648530784697051,418446,12.94430551811999,60,1,10.67466002253384,2,2013,0,,1,Swiss,AD-000342,DEALER-056,GALLERY-020,Casey Martinez,14,694935.6,13.451575897364274,1.0,1.0,
AUC-000029,AH-011,ARTW-000620,2017-08-16,COL-0050,AUC-000029,18,,91528,ART-00137,Artwork 620,Photography,2010,https://example.com/art/620.jpg,195,67,14,True,135192,UNI-005,Ketterer 30,Madrid,64,91528,11.424411140939485,13065,9.477768715400696,182910,12.116754974724673,7,1,11.814458666102693,3,2017,0,,0,Russian,AD-000219,DEALER-011,GALLERY-007,Harper Johnson,14,462093.2,13.043524045383787,,2.0,2.0
AUC-000030,AH-002,ARTW-001122,2022-04-11,COL-0200,AUC-000030,6,,87540,ART-00247,Artwork 1122,Digital,2004,https://example.com/art/1122.jpg,104,79,41,True,353622,UNI-003,Sothelake 85,Zurich,98,87540,11.379862534028966,8216,9.013960457931187,336856,12.72741378693584,18,1,12.775986652879144,2,2022,0,,1,German,AD-000389,DEALER-040,GALLERY-030,Avery Smith,13,249769.1,12.4282961737529,,2.0,3.0
AUC-000030,AH-002,ARTW-001122,2022-04-11,COL-0200,AUC-000030,6,,87540,ART-00247,Artwork 1122,Digital,2004,https://example.com/art/1122.jpg,104,79,41,True,353622,UNI-003,Sothelake 85,Zurich,98,87540,11.379862534028966,8216,9.013960457931187,336856,12.72741378693584,18,1,12.775986652879144,2,2022,0,,1,German,AD-000390,DEALER-025,GALLERY-012,Sophia Williams,13,259192.1,12.465328622735559,,2.0,3.0
AUC-000031,AH-015,ARTW-000158,2014-09-09,COL-0090,AUC-000031,3,210544.0,223615,ART-00032,Artwork 158,Photography,1981,https://example.com/art/158.jpg,154,165,27,False,337246,UNI-005,Guardian 73,Shanghai,62,223615,12.317685574053673,25410,10.142937430124647,686070,13.438736399894692,33,0,12.728570878552306,3,2014,1,0.06208203510905084,1,Thai,AD-000053,DEALER-060,GALLERY-038,Mason Wilson,15,251142.8,12.43378096243111,5.0,,5.0
AUC-000031,AH-015,ARTW-000158,2014-09-09,COL-0090,AUC-000031,3,210544.0,223615,ART-00032,Artwork 158,Photography,1981,https://example.com/art/158.jpg,154,165,27,False,337246,UNI-005,Guardian 73,Shanghai,62,223615,12.317685574053673,25410,10.142937430124647,686070,13.438736399894692,33,0,12.728570878552306,3,2014,1,0.06208203510905084,1,Thai,AD-000054,DEALER-009,GALLERY-039,Mason Williams,23,79582.6,11.284563320454593,5.0,,5.0
AUC-000032,AH-025,ARTW-000138,2012-05-19,COL-0035,AUC-000032,3,27341.0,29225,ART-00029,Artwork 138,Mixed Media,2000,https://example.com/art/138.jpg,118,66,50,False,126009,UNI-003,Sothelake 71,Chicago,89,29225,10.282814003034598,7788,8.960467760919949,389400,12.872364939970355,12,0,11.744116547863738,2,2012,1,0.06890750155444204,0,Turkish,AD-000049,DEALER-056,GALLERY-020,Casey Martinez,14,694935.6,13.451575897364274,4.0,,6.0
AUC-000032,AH-025,ARTW-000138,2012-05-19,COL-0035,AUC-000032,3,27341.0,29225,ART-00029,Artwork 138,Mixed Media,2000,https://example.com/art/138.jpg,118,66,50,False,126009,UNI-003,Sothelake 71,Chicago,89,29225,10.282814003034598,7788,8.960467760919949,389400,12.872364939970355,12,0,11.744116547863738,2,2012,1,0.06890750155444204,0,Turkish,AD-000050,DEALER-032,GALLERY-001,Harper Lopez,13,566889.0,13.247920560361434,4.0,,6.0
AUC-000033,AH-030,ARTW-001513,2019-05-28,COL-0170,AUC-000033,1,179481.0,176000,ART-00334,Artwork 1513,Mixed Media,1986,https://example.com/art/1513.jpg,75,102,25,True,139169,UNI-003,Heritagee 2,New York,100,176000,12.07824495582233,7650,8.942591637231851,191250,12.161341980433283,33,1,11.8434514864139,2,2019,1,-0.019394810592764693,1,Korean,AD-000541,DEALER-046,GALLERY-001,Mia Moore,16,1010339.3,13.825797762762113,5.0,3.0,2.0
AUC-000033,AH-030,ARTW-001513,2019-05-28,COL-0170,AUC-000033,1,179481.0,176000,ART-00334,Artwork 1513,Mixed Media,1986,https://example.com/art/1513.jpg,75,102,25,True,139169,UNI-003,Heritagee 2,New York,100,176000,12.07824495582233,7650,8.942591637231851,191250,12.161341980433283,33,1,11.8434514864139,2,2019,1,-0.019394810592764693,1,Korean,AD-000542,DEALER-032,GALLERY-001,Harper Lopez,13,566889.0,13.247920560361434,5.0,3.0,2.0
AUC-000034,AH-030,ARTW-000228,2020-05-03,COL-0136,AUC-000034,8,,89337,ART-00049,Artwork 228,Watercolour,1965,https://example.com/art/228.jpg,190,172,17,True,211802,UNI-002,Heritagee 2,New York,100,89337,11.400182208266456,32680,10.394549148260978,555560,13.227733693014136,55,1,12.263411876355079,2,2020,0,,1,Swiss,AD-000079,DEALER-059,GALLERY-008,Emma Garcia,16,692539.5,13.448121999088036,5.0,2.0,2.0
AUC-000035,AH-002,ARTW-000723,2015-08-28,COL-0036,AUC-000035,15,,110263,ART-00159,Artwork 723,Oil on Canvas,1971,https://example.com/art/723.jpg,119,41,27,False,47070,UNI-001,Sothelake 85,Zurich,98,110263,11.610632769374275,4879,8.492900498847193,131733,11.78854001690368,44,0,10.759412379123841,3,2015,0,,1,British,AD-000252,DEALER-051,GALLERY-023,Alex Garcia,17,290481.4,12.57929826824081,1.0,,
